,sex,pclass,who,alone,fare,sex_,pclass_,who_,alone_,fare_,survived_
161,female,2,adult,True,15.75,0,1,0,1,105,1
162,male,3,adult,True,7.775,1,2,0,1,31,0
163,male,3,adult,True,8.6625,1,2,0,1,54,0
164,male,3,child,False,39.6875,1,2,1,0,175,0
165,male,3,child,False,20.525,1,2,1,0,121,1
166,female,1,adult,False,55.0,0,0,0,0,190,1
167,female,3,adult,False,27.9,0,2,0,0,147,0
168,male,1,adult,True,25.925,1,0,0,1,136,0
169,male,3,adult,True,56.4958,1,2,0,1,193,0
170,male,1,adult,True,33.5,1,0,0,1,163,0
171,male,3,child,False,29.125,1,2,1,0,151,0
172,female,3,child,False,11.1333,0,2,1,0,74,1
173,male,3,adult,True,7.925,1,2,0,1,41,0
174,male,1,adult,True,30.6958,1,0,0,1,156,0
175,male,3,adult,False,7.8542,1,2,0,0,36,0
176,male,3,adult,False,25.4667,1,2,0,0,134,0
177,female,1,adult,True,28.7125,0,0,0,1,149,0
178,male,2,adult,True,13.0,1,1,0,1,85,0
179,male,3,adult,True,0.0,1,2,0,1,0,0
180,female,3,adult,False,69.55,0,2,0,0,205,0
181,male,2,adult,True,15.05,1,1,0,1,99,0
182,male,3,child,False,31.3875,1,2,1,0,159,0
183,male,2,child,False,39.0,1,1,1,0,172,1
184,female,3,child,False,22.025,0,2,1,0,126,1
185,male,1,adult,True,50.0,1,0,0,1,183,0
186,female,3,adult,False,15.5,0,2,0,0,102,1
187,male,1,adult,True,26.55,1,0,0,1,143,1
188,male,3,adult,False,15.5,1,2,0,0,102,0
189,male,3,adult,True,7.8958,1,2,0,1,40,0
190,female,2,adult,True,13.0,0,1,0,1,85,1
191,male,2,adult,True,13.0,1,1,0,1,85,0
192,female,3,adult,False,7.8542,0,2,0,0,36,1
193,male,2,child,False,26.0,1,1,1,0,138,1
194,female,1,adult,True,27.7208,0,0,0,1,145,1
195,female,1,adult,True,146.5208,0,0,0,1,235,1
196,male,3,adult,True,7.75,1,2,0,1,30,0
197,male,3,adult,False,8.4042,1,2,0,0,49,0
198,female,3,adult,True,7.75,0,2,0,1,30,1
199,female,2,adult,True,13.0,0,1,0,1,85,0
200,male,3,adult,True,9.5,1,2,0,1,64,0
201,male,3,adult,False,69.55,1,2,0,0,205,0
202,male,3,adult,True,6.4958,1,2,0,1,6,0
203,male,3,adult,True,7.225,1,2,0,1,16,0
204,male,3,adult,True,8.05,1,2,0,1,43,1
205,female,3,child,False,10.4625,0,2,1,0,71,0
206,male,3,adult,False,15.85,1,2,0,0,106,0
207,male,3,adult,True,18.7875,1,2,0,1,115,1
208,female,3,adult,True,7.75,0,2,0,1,30,1
209,male,1,adult,True,31.0,1,0,0,1,157,1
210,male,3,adult,True,7.05,1,2,0,1,12,0
211,female,2,adult,True,21.0,0,1,0,1,123,1
212,male,3,adult,True,7.25,1,2,0,1,18,0
213,male,2,adult,True,13.0,1,1,0,1,85,0
214,male,3,adult,False,7.75,1,2,0,0,30,0
215,female,1,adult,False,113.275,0,0,0,0,230,1
216,female,3,adult,True,7.925,0,2,0,1,41,1
217,male,2,adult,False,27.0,1,1,0,0,144,0
218,female,1,adult,True,76.2917,0,0,0,1,210,1
219,male,2,adult,True,10.5,1,1,0,1,72,0
220,male,3,adult,True,8.05,1,2,0,1,43,1
221,male,2,adult,True,13.0,1,1,0,1,85,0
222,male,3,adult,True,8.05,1,2,0,1,43,0
223,male,3,adult,True,7.8958,1,2,0,1,40,0
224,male,1,adult,False,90.0,1,0,0,0,224,1
225,male,3,adult,True,9.35,1,2,0,1,61,0
226,male,2,adult,True,10.5,1,1,0,1,72,1
227,male,3,adult,True,7.25,1,2,0,1,18,0
228,male,2,adult,True,13.0,1,1,0,1,85,0
229,female,3,adult,False,25.4667,0,2,0,0,134,0
230,female,1,adult,False,83.475,0,0,0,0,221,1
231,male,3,adult,True,7.775,1,2,0,1,31,0
232,male,2,adult,True,13.5,1,1,0,1,87,0
233,female,3,child,False,31.3875,0,2,1,0,159,1
234,male,2,adult,True,10.5,1,1,0,1,72,0
235,female,3,adult,True,7.55,0,2,0,1,22,0
236,male,2,adult,False,26.0,1,1,0,0,138,0
237,female,2,child,False,26.25,0,1,1,0,139,1
238,male,2,adult,True,10.5,1,1,0,1,72,0
239,male,2,adult,True,12.275,1,1,0,1,78,0
240,female,3,adult,False,14.4542,0,2,0,0,94,0
241,female,3,adult,False,15.5,0,2,0,0,102,1
242,male,2,adult,True,10.5,1,1,0,1,72,0
243,male,3,adult,True,7.125,1,2,0,1,14,0
244,male,3,adult,True,7.225,1,2,0,1,16,0
245,male,1,adult,False,90.0,1,0,0,0,224,0
246,female,3,adult,True,7.775,0,2,0,1,31,0
247,female,2,adult,False,14.5,0,1,0,0,96,1
248,male,1,adult,False,52.5542,1,0,0,0,188,1
249,male,2,adult,False,26.0,1,1,0,0,138,0
250,male,3,adult,True,7.25,1,2,0,1,18,0
251,female,3,adult,False,10.4625,0,2,0,0,71,0
252,male,1,adult,True,26.55,1,0,0,1,143,0
253,male,3,adult,False,16.1,1,2,0,0,109,0
254,female,3,adult,False,20.2125,0,2,0,0,119,0
255,female,3,adult,False,15.2458,0,2,0,0,101,1
256,female,1,adult,True,79.2,0,0,0,1,216,1
257,female,1,adult,True,86.5,0,0,0,1,222,1
258,female,1,adult,True,512.3292,0,0,0,1,246,1
259,female,2,adult,False,26.0,0,1,0,0,138,1
260,male,3,adult,True,7.75,1,2,0,1,30,0
261,male,3,child,False,31.3875,1,2,1,0,159,1
262,male,1,adult,False,79.65,1,0,0,0,217,0
263,male,1,adult,True,0.0,1,0,0,1,0,0
264,female,3,adult,True,7.75,0,2,0,1,30,0
265,male,2,adult,True,10.5,1,1,0,1,72,0
266,male,3,adult,False,39.6875,1,2,0,0,175,0
267,male,3,adult,False,7.775,1,2,0,0,31,1
268,female,1,adult,False,153.4625,0,0,0,0,237,1
269,female,1,adult,True,135.6333,0,0,0,1,234,1
270,male,1,adult,True,31.0,1,0,0,1,157,0
271,male,3,adult,True,0.0,1,2,0,1,0,1
272,female,2,adult,False,19.5,0,1,0,0,117,1
273,male,1,adult,False,29.7,1,0,0,0,152,0
274,female,3,adult,True,7.75,0,2,0,1,30,1
275,female,1,adult,False,77.9583,0,0,0,0,213,1
276,female,3,adult,True,7.75,0,2,0,1,30,0
277,male,2,adult,True,0.0,1,1,0,1,0,0
278,male,3,child,False,29.125,1,2,1,0,151,0
279,female,3,adult,False,20.25,0,2,0,0,120,1
280,male,3,adult,True,7.75,1,2,0,1,30,0
281,male,3,adult,True,7.8542,1,2,0,1,36,0
282,male,3,adult,True,9.5,1,2,0,1,64,0
283,male,3,adult,True,8.05,1,2,0,1,43,1
284,male,1,adult,True,26.0,1,0,0,1,138,0
285,male,3,adult,True,8.6625,1,2,0,1,54,0
286,male,3,adult,True,9.5,1,2,0,1,64,1
287,male,3,adult,True,7.8958,1,2,0,1,40,0
288,male,2,adult,True,13.0,1,1,0,1,85,1
289,female,3,adult,True,7.75,0,2,0,1,30,1
290,female,1,adult,True,78.85,0,0,0,1,215,1
291,female,1,adult,False,91.0792,0,0,0,0,225,1
292,male,2,adult,True,12.875,1,1,0,1,84,0
293,female,3,adult,True,8.85,0,2,0,1,57,0
294,male,3,adult,True,7.8958,1,2,0,1,40,0
295,male,1,adult,True,27.7208,1,0,0,1,145,0
296,male,3,adult,True,7.2292,1,2,0,1,17,0
297,female,1,child,False,151.55,0,0,1,0,236,0
298,male,1,adult,True,30.5,1,0,0,1,155,1
299,female,1,adult,False,247.5208,0,0,0,0,243,1
300,female,3,adult,True,7.75,0,2,0,1,30,1
301,male,3,adult,False,23.25,1,2,0,0,130,1
302,male,3,adult,True,0.0,1,2,0,1,0,0
303,female,2,adult,True,12.35,0,1,0,1,80,1
304,male,3,adult,True,8.05,1,2,0,1,43,0
305,male,1,child,False,151.55,1,0,1,0,236,1
306,female,1,adult,True,110.8833,0,0,0,1,229,1
307,female,1,adult,False,108.9,0,0,0,0,228,1
308,male,2,adult,False,24.0,1,1,0,0,132,0
309,female,1,adult,True,56.9292,0,0,0,1,194,1
310,female,1,adult,True,83.1583,0,0,0,1,220,1
311,female,1,adult,False,262.375,0,0,0,0,244,1
312,female,2,adult,False,26.0,0,1,0,0,138,0
313,male,3,adult,True,7.8958,1,2,0,1,40,0
314,male,2,adult,False,26.25,1,1,0,0,139,0
315,female,3,adult,True,7.8542,0,2,0,1,36,1
316,female,2,adult,False,26.0,0,1,0,0,138,1
317,male,2,adult,True,14.0,1,1,0,1,91,0
318,female,1,adult,False,164.8667,0,0,0,0,238,1
319,female,1,adult,False,134.5,0,0,0,0,233,1
320,male,3,adult,True,7.25,1,2,0,1,18,0
321,male,3,adult,True,7.8958,1,2,0,1,40,0
322,female,2,adult,True,12.35,0,1,0,1,80,1
323,female,2,adult,False,29.0,0,1,0,0,150,1
324,male,3,adult,False,69.55,1,2,0,0,205,0
325,female,1,adult,True,135.6333,0,0,0,1,234,1
326,male,3,adult,True,6.2375,1,2,0,1,3,0
327,female,2,adult,True,13.0,0,1,0,1,85,1
328,female,3,adult,False,20.525,0,2,0,0,121,1
329,female,1,adult,False,57.9792,0,0,0,0,196,1
330,female,3,adult,False,23.25,0,2,0,0,130,1
331,male,1,adult,True,28.5,1,0,0,1,148,0
332,male,1,adult,False,153.4625,1,0,0,0,237,0
333,male,3,adult,False,18.0,1,2,0,0,113,0
334,female,1,adult,False,133.65,0,0,0,0,232,1
335,male,3,adult,True,7.8958,1,2,0,1,40,0
336,male,1,adult,False,66.6,1,0,0,0,203,0
337,female,1,adult,True,134.5,0,0,0,1,233,1
338,male,3,adult,True,8.05,1,2,0,1,43,1
339,male,1,adult,True,35.5,1,0,0,1,168,0
340,male,2,child,False,26.0,1,1,1,0,138,1
341,female,1,adult,False,263.0,0,0,0,0,245,1
342,male,2,adult,True,13.0,1,1,0,1,85,0
343,male,2,adult,True,13.0,1,1,0,1,85,0
344,male,2,adult,True,13.0,1,1,0,1,85,0
345,female,2,adult,True,13.0,0,1,0,1,85,1
346,female,2,adult,True,13.0,0,1,0,1,85,1
347,female,3,adult,False,16.1,0,2,0,0,109,1
348,male,3,child,False,15.9,1,2,1,0,107,1
349,male,3,adult,True,8.6625,1,2,0,1,54,0
350,male,3,adult,True,9.225,1,2,0,1,60,0
351,male,1,adult,True,35.0,1,0,0,1,167,0
352,male,3,child,False,7.2292,1,2,1,0,17,0
353,male,3,adult,False,17.8,1,2,0,0,112,0
354,male,3,adult,True,7.225,1,2,0,1,16,0
355,male,3,adult,True,9.5,1,2,0,1,64,0
356,female,1,adult,False,55.0,0,0,0,0,190,1
357,female,2,adult,True,13.0,0,1,0,1,85,0
358,female,3,adult,True,7.8792,0,2,0,1,38,1
359,female,3,adult,True,7.8792,0,2,0,1,38,1
360,male,3,adult,False,27.9,1,2,0,0,147,0
361,male,2,adult,False,27.7208,1,1,0,0,145,0
362,female,3,adult,False,14.4542,0,2,0,0,94,0
363,male,3,adult,True,7.05,1,2,0,1,12,0
364,male,3,adult,False,15.5,1,2,0,0,102,0
365,male,3,adult,True,7.25,1,2,0,1,18,0
366,female,1,adult,False,75.25,0,0,0,0,209,1
367,female,3,adult,True,7.2292,0,2,0,1,17,1
368,female,3,adult,True,7.75,0,2,0,1,30,1
369,female,1,adult,True,69.3,0,0,0,1,204,1
370,male,1,adult,False,55.4417,1,0,0,0,191,1
371,male,3,adult,False,6.4958,1,2,0,0,6,0
372,male,3,adult,True,8.05,1,2,0,1,43,0
373,male,1,adult,True,135.6333,1,0,0,1,234,0
374,female,3,child,False,21.075,0,2,1,0,124,0
375,female,1,adult,False,82.1708,0,0,0,0,219,1
376,female,3,adult,True,7.25,0,2,0,1,18,1
377,male,1,adult,False,211.5,1,0,0,0,240,0
378,male,3,adult,True,4.0125,1,2,0,1,1,0
379,male,3,adult,True,7.775,1,2,0,1,31,0
380,female,1,adult,True,227.525,0,0,0,1,242,1
381,female,3,child,False,15.7417,0,2,1,0,104,1
382,male,3,adult,True,7.925,1,2,0,1,41,0
383,female,1,adult,False,52.0,0,0,0,0,187,1
384,male,3,adult,True,7.8958,1,2,0,1,40,0
385,male,2,adult,True,73.5,1,1,0,1,208,0
386,male,3,child,False,46.9,1,2,1,0,179,0
387,female,2,adult,True,13.0,0,1,0,1,85,1
388,male,3,adult,True,7.7292,1,2,0,1,26,0
389,female,2,adult,True,12.0,0,1,0,1,77,1
390,male,1,adult,False,120.0,1,0,0,0,231,1
391,male,3,adult,True,7.7958,1,2,0,1,33,1
392,male,3,adult,False,7.925,1,2,0,0,41,0
393,female,1,adult,False,113.275,0,0,0,0,230,1
394,female,3,adult,False,16.7,0,2,0,0,110,1
395,male,3,adult,True,7.7958,1,2,0,1,33,0
396,female,3,adult,True,7.8542,0,2,0,1,36,0
397,male,2,adult,True,26.0,1,1,0,1,138,0
398,male,2,adult,True,10.5,1,1,0,1,72,0
399,female,2,adult,True,12.65,0,1,0,1,83,1
400,male,3,adult,True,7.925,1,2,0,1,41,1
401,male,3,adult,True,8.05,1,2,0,1,43,0
402,female,3,adult,False,9.825,0,2,0,0,66,0
403,male,3,adult,False,15.85,1,2,0,0,106,0
404,female,3,adult,True,8.6625,0,2,0,1,54,0
405,male,2,adult,False,21.0,1,1,0,0,123,0
406,male,3,adult,True,7.75,1,2,0,1,30,0
407,male,2,child,False,18.75,1,1,1,0,114,1
408,male,3,adult,True,7.775,1,2,0,1,31,0
409,female,3,adult,False,25.4667,0,2,0,0,134,0
410,male,3,adult,True,7.8958,1,2,0,1,40,0
411,male,3,adult,True,6.8583,1,2,0,1,8,0
412,female,1,adult,False,90.0,0,0,0,0,224,1
413,male,2,adult,True,0.0,1,1,0,1,0,0
414,male,3,adult,True,7.925,1,2,0,1,41,1
415,female,3,adult,True,8.05,0,2,0,1,43,0
416,female,2,adult,False,32.5,0,1,0,0,161,1
417,female,2,adult,False,13.0,0,1,0,0,85,1
418,male,2,adult,True,13.0,1,1,0,1,85,0
419,female,3,child,False,24.15,0,2,1,0,133,0
420,male,3,adult,True,7.8958,1,2,0,1,40,0
421,male,3,adult,True,7.7333,1,2,0,1,27,0
422,male,3,adult,True,7.875,1,2,0,1,37,0
423,female,3,adult,False,14.4,0,2,0,0,93,0
424,male,3,adult,False,20.2125,1,2,0,0,119,0
425,male,3,adult,True,7.25,1,2,0,1,18,0
426,female,2,adult,False,26.0,0,1,0,0,138,1
427,female,2,adult,True,26.0,0,1,0,1,138,1
428,male,3,adult,True,7.75,1,2,0,1,30,0
429,male,3,adult,True,8.05,1,2,0,1,43,1
430,male,1,adult,True,26.55,1,0,0,1,143,1
431,female,3,adult,False,16.1,0,2,0,0,109,1
432,female,2,adult,False,26.0,0,1,0,0,138,1
433,male,3,adult,True,7.125,1,2,0,1,14,0
434,male,1,adult,False,55.9,1,0,0,0,192,0
435,female,1,child,False,120.0,0,0,1,0,231,1
436,female,3,adult,False,34.375,0,2,0,0,165,0
437,female,2,adult,False,18.75,0,1,0,0,114,1
438,male,1,adult,False,263.0,1,0,0,0,245,0
439,male,2,adult,True,10.5,1,1,0,1,72,0
440,female,2,adult,False,26.25,0,1,0,0,139,1
441,male,3,adult,True,9.5,1,2,0,1,64,0
442,male,3,adult,False,7.775,1,2,0,0,31,0
443,female,2,adult,True,13.0,0,1,0,1,85,1
444,male,3,adult,True,8.1125,1,2,0,1,44,1
445,male,1,child,False,81.8583,1,0,1,0,218,1
446,female,2,child,False,19.5,0,1,1,0,117,1
447,male,1,adult,True,26.55,1,0,0,1,143,1
448,female,3,child,False,19.2583,0,2,1,0,116,1
449,male,1,adult,True,30.5,1,0,0,1,155,1
450,male,2,adult,False,27.75,1,1,0,0,146,0
451,male,3,adult,False,19.9667,1,2,0,0,118,0
452,male,1,adult,True,27.75,1,0,0,1,146,0
453,male,1,adult,False,89.1042,1,0,0,0,223,1
454,male,3,adult,True,8.05,1,2,0,1,43,0
455,male,3,adult,True,7.8958,1,2,0,1,40,1
456,male,1,adult,True,26.55,1,0,0,1,143,0
457,female,1,adult,False,51.8625,0,0,0,0,186,1
458,female,2,adult,True,10.5,0,1,0,1,72,1
459,male,3,adult,True,7.75,1,2,0,1,30,0
460,male,1,adult,True,26.55,1,0,0,1,143,1
461,male,3,adult,True,8.05,1,2,0,1,43,0
462,male,1,adult,True,38.5,1,0,0,1,171,0
463,male,2,adult,True,13.0,1,1,0,1,85,0
464,male,3,adult,True,8.05,1,2,0,1,43,0
465,male,3,adult,True,7.05,1,2,0,1,12,0
466,male,2,adult,True,0.0,1,1,0,1,0,0
467,male,1,adult,True,26.55,1,0,0,1,143,0
468,male,3,adult,True,7.725,1,2,0,1,25,0
469,female,3,child,False,19.2583,0,2,1,0,116,1
470,male,3,adult,True,7.25,1,2,0,1,18,0
471,male,3,adult,True,8.6625,1,2,0,1,54,0
472,female,2,adult,False,27.75,0,1,0,0,146,1
473,female,2,adult,True,13.7917,0,1,0,1,88,1
474,female,3,adult,True,9.8375,0,2,0,1,67,0
475,male,1,adult,True,52.0,1,0,0,1,187,0
476,male,2,adult,False,21.0,1,1,0,0,123,0
477,male,3,adult,False,7.0458,1,2,0,0,11,0
478,male,3,adult,True,7.5208,1,2,0,1,21,0
479,female,3,child,False,12.2875,0,2,1,0,79,1
480,male,3,child,False,46.9,1,2,1,0,179,0
481,male,2,adult,True,0.0,1,1,0,1,0,0
482,male,3,adult,True,8.05,1,2,0,1,43,0
483,female,3,adult,True,9.5875,0,2,0,1,65,1
484,male,1,adult,False,91.0792,1,0,0,0,225,1
485,female,3,adult,False,25.4667,0,2,0,0,134,0
486,female,1,adult,False,90.0,0,0,0,0,224,1
487,male,1,adult,True,29.7,1,0,0,1,152,0
488,male,3,adult,True,8.05,1,2,0,1,43,0
489,male,3,child,False,15.9,1,2,1,0,107,1
490,male,3,adult,False,19.9667,1,2,0,0,118,0
491,male,3,adult,True,7.25,1,2,0,1,18,0
492,male,1,adult,True,30.5,1,0,0,1,155,0
493,male,1,adult,True,49.5042,1,0,0,1,182,0
494,male,3,adult,True,8.05,1,2,0,1,43,0
495,male,3,adult,True,14.4583,1,2,0,1,95,0
496,female,1,adult,False,78.2667,0,0,0,0,214,1
497,male,3,adult,True,15.1,1,2,0,1,100,0
498,female,1,adult,False,151.55,0,0,0,0,236,0
499,male,3,adult,True,7.7958,1,2,0,1,33,0
500,male,3,adult,True,8.6625,1,2,0,1,54,0
501,female,3,adult,True,7.75,0,2,0,1,30,0
502,female,3,adult,True,7.6292,0,2,0,1,23,0
503,female,3,adult,True,9.5875,0,2,0,1,65,0
504,female,1,adult,True,86.5,0,0,0,1,222,1
505,male,1,adult,False,108.9,1,0,0,0,228,0
506,female,2,adult,False,26.0,0,1,0,0,138,1
507,male,1,adult,True,26.55,1,0,0,1,143,1
508,male,3,adult,True,22.525,1,2,0,1,128,0
509,male,3,adult,True,56.4958,1,2,0,1,193,1
510,male,3,adult,True,7.75,1,2,0,1,30,1
511,male,3,adult,True,8.05,1,2,0,1,43,0
