TA,TB,TC,light,region,product
42,24.86,0,no,S,1288.85
42,26.9,0,no,E,1289.46
41,31.02,0,no,S,1336.02
41,31.6,0,no,E,1336.2
43,23.2,0,no,E,1350.08
42,31.255,0,no,W,1373.5
18,33.88,0,no,S,1148.26
41,32.965,0,no,W,1419.34
43,26.03,0,no,N,1476.88
33,35.245,0,no,N,1964.94
44,39.52,0,no,W,1500.92
46,22.3,0,no,E,1801.07
45,21.375,0,no,W,1560.12
45,33.1,0,no,E,1586.54
45,35.3,0,no,E,1587.19
44,26.41,0,no,W,1602.61
44,27.645,0,no,W,1602.98
45,39.805,0,no,N,1608.85
46,19.855,0,no,W,1896.73
45,35.815,0,no,W,1670.09
48,29.7,0,no,S,1962.98
18,38.28,0,no,S,1413.3
45,38.285,0,no,N,1714.02
46,27.74,0,no,W,2022.73
49,30.3,0,no,E,2045.41
49,35.86,0,no,S,2047.35
49,36.85,0,no,S,2047.7
48,31.13,0,no,S,2086.71
50,26.6,0,no,E,2128.01
50,36.2,0,no,E,2131.36
49,27.17,0,no,S,2167.52
49,22.515,0,no,N,2189.6
51,25.4,0,no,E,2213.19
48,40.15,0,no,S,2218.66
50,26.41,0,no,W,2224.46
50,32.205,0,no,W,2226.49
50,25.6,0,no,E,2250.89
52,34.1,0,no,S,2303.53
52,36.7,0,no,E,2304.44
51,31.635,0,no,W,2311.88
21,31.02,0,no,S,1824.52
51,20.6,0,no,E,2334.72
51,34.1,0,no,S,2339.47
51,22.42,0,no,N,2359.04
53,29.48,0,no,S,2390.88
53,41.47,0,no,S,2395.08
50,44.745,0,no,N,2404.51
52,31.2,0,no,E,2425.72
52,37.4,0,no,E,2427.89
51,18.05,0,no,W,2430.36
52,33.25,0,no,N,2450.14
53,24.32,0,no,W,2485.6
51,33.915,0,no,N,2486.3
53,28.88,0,no,W,2487.18
51,40.66,0,no,N,2488.68
25,41.325,0,no,N,1966.68
53,30.495,0,no,N,2538.17
55,38.28,0,no,S,2577.02
54,30.21,0,no,W,2578.34
53,26.6,0,no,W,2609.61
54,24.035,0,no,N,2626.57
54,32.775,0,no,N,2629.65
24,27.6,0,no,E,2085.07
53,33.25,0,no,N,2662.35
56,39.6,0,no,E,2671.55
55,32.775,0,no,W,2671.61
37,36.19,0,no,S,3043.6
55,37.1,0,no,E,2699.83
54,32.68,0,no,N,2752.82
57,28.1,0,no,E,2763.28
56,33.725,0,no,W,2766.01
56,25.3,0,no,E,2789.77
56,27.2,0,no,E,2790.45
55,26.98,0,no,W,2792.82
56,25.935,0,no,N,2813.68
57,34.01,0,no,W,2861.89
58,35.7,0,no,E,2863.42
58,38.0,0,no,E,2864.23
58,49.06,0,no,S,2868.08
56,25.65,0,no,W,2886.41
57,28.7,0,no,E,2886.73
57,18.335,0,no,N,2906.79
57,40.945,0,no,N,2914.7
56,28.31,0,no,N,2937.75
56,28.595,0,no,N,2937.84
56,28.785,0,no,N,2937.91
58,28.595,0,no,W,2957.44
59,26.4,0,no,S,2959.31
58,34.39,0,no,W,2959.46
57,23.18,0,no,W,2981.31
58,22.77,0,no,S,2982.11
58,25.2,0,no,E,2982.98
57,30.495,0,no,W,2983.88
58,29.0,0,no,E,2984.28
57,31.825,0,no,W,2984.34
58,33.1,0,no,E,2985.72
58,39.05,0,no,S,2987.81
18,30.115,0,no,N,2134.48
58,34.865,0,no,N,3010.04
57,22.23,0,no,N,3031.38
59,28.785,0,no,W,3056.66
60,25.74,0,no,S,3059.94
60,28.9,0,no,E,3061.04
58,27.17,0,no,W,3080.17
58,33.44,0,no,W,3082.37
59,27.5,0,no,E,3082.91
59,35.2,0,no,S,3085.61
59,24.7,0,no,N,3105.62
58,32.965,0,no,N,3132.61
60,24.32,0,no,W,3155.95
61,31.57,0,no,S,3164.52
61,43.4,0,no,E,3168.65
59,31.35,0,no,W,3180.8
60,24.53,0,no,S,3182.73
60,30.5,0,no,E,3184.83
60,35.1,0,no,E,3186.44
60,38.06,0,no,S,3187.48
60,29.64,0,no,N,3208.21
60,36.955,0,no,N,3210.79
44,36.48,0,no,N,2764.2
59,26.505,0,no,N,3229.48
19,33.1,0,no,E,2308.3
62,21.4,0,no,E,3265.19
62,37.4,0,no,E,3270.81
62,39.93,0,no,S,3271.69
60,24.035,0,no,W,3279.08
61,28.2,0,no,E,3286.56
61,44.0,0,no,E,3292.1
61,23.655,0,no,N,3308.66
61,33.915,0,no,N,3312.26
60,27.55,0,no,N,3330.71
62,30.02,0,no,W,3364.73
63,30.8,0,no,E,3374.43
63,33.1,0,no,E,3375.23
63,41.47,0,no,S,3378.16
61,21.09,0,no,W,3380.58
61,31.16,0,no,W,3384.11
62,25.0,0,no,E,3389.68
62,29.92,0,no,S,3391.42
62,33.2,0,no,E,3392.55
62,39.16,0,no,S,3394.64
62,39.2,0,no,E,3394.66
62,32.11,0,no,N,3415.86
56,40.3,0,no,E,3427.8
61,22.04,0,no,N,3431.33
61,35.91,0,no,N,3436.17
63,28.31,0,no,W,3470.07
64,34.5,0,no,E,3483.34
64,40.48,0,no,S,3485.44
63,31.8,0,no,E,3497.98
63,36.3,0,no,S,3499.58
24,23.21,0,no,S,2759.0
63,36.765,0,no,N,3523.44
62,31.73,0,no,N,3538.96
64,37.905,0,no,W,3581.05
63,26.22,0,no,W,3592.57
64,35.97,0,no,S,3607.07
64,39.7,0,no,E,3608.39
64,32.965,0,no,W,3702.57
63,36.85,0,no,S,3751.78
64,39.33,0,no,N,3755.18
60,36.01,0,no,N,4089.65
56,39.82,0,no,S,4306.86
63,23.09,0,no,N,4649.85
19,21.7,0,yes,E,1384.45
24,20.52,0,yes,N,1602.91
20,22.42,0,yes,W,1471.17
18,25.175,0,yes,N,1551.82
25,24.13,0,yes,W,1739.98
38,19.3,0,yes,E,2505.99
29,22.895,0,yes,N,1775.27
19,27.7,0,yes,E,1629.78
27,24.75,0,yes,S,1823.56
19,28.3,0,yes,E,1708.11
19,29.07,0,yes,W,1735.27
19,28.31,0,yes,W,1746.9
32,24.6,0,yes,E,2771.42
19,28.88,0,yes,W,1774.85
33,24.795,0,yes,N,2836.07
23,28.31,0,yes,W,1983.74
27,29.15,0,yes,S,2007.12
27,28.5,0,yes,W,2014.18
37,26.4,0,yes,S,3095.0
39,26.41,0,yes,N,3191.65
19,30.25,0,yes,S,3254.83
18,31.73,0,yes,N,3373.27
19,31.92,0,yes,W,3375.03
19,33.11,0,yes,S,3443.99
18,33.535,0,yes,N,3461.78
19,34.8,0,yes,E,3477.96
27,31.4,0,yes,E,3832.28
42,24.64,0,yes,S,4215.35
24,28.5,0,yes,N,3866.23
34,30.8,0,yes,E,5621.87
22,35.6,0,yes,E,3914.42
42,23.37,0,yes,N,4312.38
18,36.85,0,yes,S,3614.95
29,34.4,0,yes,E,3981.75
19,36.955,0,yes,W,3621.94
18,38.17,0,yes,S,3630.78
30,35.3,0,yes,E,4052.13
30,35.53,0,yes,S,4064.53
33,33.5,0,yes,E,5873.38
27,36.08,0,yes,S,4084.73
37,30.78,0,yes,N,5903.59
36,34.43,0,yes,S,5978.43
24,40.15,0,yes,S,4193.88
53,20.9,0,yes,S,5341.34
48,24.42,0,yes,S,5348.38
42,26.6,0,yes,W,4611.32
18,42.24,0,yes,S,3879.27
43,26.885,0,yes,W,4703.24
27,42.13,0,yes,S,4357.3
42,30.0,0,yes,E,4783.1
56,19.95,0,yes,N,5647.98
37,38.39,0,yes,S,6402.37
47,27.83,0,yes,S,5812.48
52,27.36,0,yes,W,6147.19
59,23.655,0,yes,W,6471.05
